,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
39,2653.3161,3.5078505,1,40,1,1,2,1,4,2,-5,1.0,-0.8162734,229790.0,233299.0,231492.0,231492.0,0.0,0.0,230308.0,232299.0,230308.0,233299.0,232306.0,233299.0,3509.0,518.0,2991.0,993.0,1991.0,-814.0
40,2656.832261,3.5078717,1,41,1,1,2,2,2,1,-100,1.0,-0.2580199,233306.0,236815.0,235566.0,235566.0,0.0,0.0,233825.0,235816.0,233825.0,236815.0,235822.0,236815.0,3509.0,519.0,2990.0,993.0,1991.0,-256.0
41,2660.348434,3.5078321,1,42,1,2,2,2,3,2,-95,2.0,-0.9412218,236822.0,240332.0,238398.0,0.0,238398.0,0.0,237341.0,239332.0,237341.0,240332.0,239338.0,240332.0,3510.0,519.0,2991.0,994.0,1991.0,-940.0
42,2663.8646,3.5078307,1,43,1,1,2,2,3,2,-100,2.0,-0.6996201,240338.0,243848.0,242157.0,0.0,242157.0,0.0,240856.0,242848.0,240856.0,243848.0,242855.0,243848.0,3510.0,518.0,2992.0,993.0,1992.0,-698.0
43,2667.380886,3.5077062,1,44,1,1,2,2,3,2,-105,2.0,-0.5746662,243855.0,247364.0,245798.0,0.0,245798.0,0.0,244372.0,246364.0,244373.0,247364.0,246371.0,247364.0,3509.0,518.0,2991.0,993.0,1992.0,-573.0
44,2670.896929,3.5078303,1,45,1,2,2,1,1,1,0,2.0,-0.6413535,247371.0,250880.0,249247.0,0.0,249247.0,0.0,247889.0,249880.0,247889.0,250881.0,249887.0,250881.0,3509.0,518.0,2992.0,994.0,1991.0,-640.0
45,2674.413088,3.5078473,1,46,1,1,1,2,4,1,-110,1.0,-0.2747244,250887.0,254396.0,253130.0,253130.0,0.0,0.0,251405.0,253396.0,251405.0,254396.0,253403.0,254396.0,3509.0,518.0,2991.0,993.0,1991.0,-273.0
46,2677.929264,3.9410558,1,47,1,1,2,1,1,2,-5,1.0,-0.9579374,254403.0,258346.0,256396.0,256396.0,0.0,0.0,255354.0,257345.0,255354.0,258346.0,257352.0,258346.0,3943.0,951.0,2992.0,994.0,1991.0,-956.0
47,2681.878688,3.5079619,1,48,1,2,1,1,2,2,0,2.0,-1.0325405,258352.0,261862.0,259838.0,0.0,259838.0,0.0,258870.0,260862.0,258871.0,261862.0,260869.0,261863.0,3510.0,519.0,2991.0,994.0,1992.0,-1031.0
48,2685.394986,3.5076941,1,49,1,2,2,1,2,1,-5,1.0,-0.8573981,261869.0,265377.0,263529.0,263529.0,0.0,0.0,262387.0,264378.0,262387.0,265378.0,264385.0,265378.0,3508.0,518.0,2991.0,993.0,1991.0,-856.0
49,2688.911147,3.5077125,1,50,1,1,1,2,2,1,-105,2.0,-0.9412924,265385.0,268894.0,266962.0,0.0,266962.0,0.0,265903.0,267894.0,265903.0,268894.0,267901.0,268894.0,3509.0,518.0,2991.0,993.0,1991.0,-939.0
50,2692.427194,3.5079212,1,51,1,1,2,2,1,1,-110,1.0,-0.4496846,268901.0,272410.0,270969.0,270969.0,0.0,0.0,269418.0,271410.0,269418.0,272410.0,271417.0,272410.0,3509.0,517.0,2992.0,993.0,1992.0,-448.0
51,2695.943332,3.5078279,1,52,1,2,1,1,3,2,0,2.0,-1.0658959,272417.0,275926.0,273869.0,0.0,273869.0,0.0,272935.0,274927.0,272935.0,275927.0,274933.0,275927.0,3509.0,518.0,2992.0,994.0,1992.0,-1064.0
52,2699.459581,3.5077434,1,53,1,1,2,2,3,1,-105,1.0,-0.3662005,275933.0,279443.0,278084.0,278084.0,0.0,0.0,276451.0,278443.0,276451.0,279443.0,278449.0,279443.0,3510.0,518.0,2992.0,994.0,1992.0,-365.0
53,2702.975743,3.5077431,1,54,1,2,1,1,1,2,-5,1.0,-0.8663162,279449.0,282959.0,281101.0,281101.0,0.0,0.0,279967.0,281958.0,279967.0,282959.0,281965.0,282959.0,3510.0,518.0,2992.0,994.0,1991.0,-864.0
54,2706.49183,3.5078314,1,55,1,2,2,2,1,1,-100,2.0,-0.5663505,282965.0,286475.0,284917.0,0.0,284917.0,0.0,283484.0,285475.0,283484.0,286475.0,285482.0,286475.0,3510.0,519.0,2991.0,993.0,1991.0,-565.0
55,2710.007993,3.5078493,1,56,1,1,2,1,1,1,0,2.0,-0.2495913,286481.0,289991.0,288750.0,0.0,288750.0,0.0,287000.0,288991.0,287000.0,289991.0,288998.0,289991.0,3510.0,519.0,2991.0,993.0,1991.0,-248.0
56,2713.52416,3.5078407,1,57,1,1,2,2,5,2,-105,1.0,-0.3829129,289998.0,293507.0,292133.0,292133.0,0.0,0.0,290516.0,292507.0,290516.0,293507.0,292514.0,293507.0,3509.0,518.0,2991.0,993.0,1991.0,-381.0
57,2717.040335,3.5078187,1,58,1,1,2,2,2,1,-100,2.0,-0.4913802,293514.0,297023.0,295540.0,0.0,295540.0,0.0,294031.0,296024.0,294032.0,297023.0,296030.0,297023.0,3509.0,518.0,2991.0,993.0,1993.0,-490.0
58,2720.556477,3.5078402,1,59,1,2,2,1,1,1,-5,1.0,-1.0747504,297030.0,300539.0,298473.0,298473.0,0.0,0.0,297548.0,299540.0,297548.0,300540.0,299546.0,300540.0,3509.0,518.0,2992.0,994.0,1992.0,-1073.0
59,2724.072651,3.5078506,1,60,1,1,2,1,3,1,0,2.0,-0.3080645,300546.0,304056.0,302756.0,0.0,302756.0,0.0,301064.0,303056.0,301064.0,304056.0,303062.0,304056.0,3510.0,518.0,2992.0,994.0,1992.0,-306.0
60,2727.588829,3.5077972,1,61,1,1,1,2,4,2,-105,2.0,-0.69137,304062.0,307572.0,305889.0,0.0,305889.0,0.0,304580.0,306571.0,304580.0,307572.0,306578.0,307572.0,3510.0,518.0,2992.0,994.0,1991.0,-689.0
61,2731.10499,3.5078331,1,62,1,2,1,1,2,2,-5,1.0,-1.0247781,307578.0,311088.0,309071.0,309071.0,0.0,0.0,308097.0,310088.0,308097.0,311088.0,310095.0,311088.0,3510.0,519.0,2991.0,993.0,1991.0,-1024.0
62,2734.621157,3.5077929,1,63,1,1,1,1,3,1,0,2.0,-1.1412993,311094.0,314604.0,312471.0,0.0,312471.0,0.0,311612.0,313604.0,311613.0,314604.0,313611.0,314604.0,3510.0,519.0,2991.0,993.0,1992.0,-1140.0
63,2738.145624,3.5078466,1,64,1,2,2,1,5,2,-5,1.0,-0.941281,314619.0,318128.0,316195.0,316195.0,0.0,0.0,315137.0,317129.0,315137.0,318128.0,317136.0,318129.0,3509.0,518.0,2991.0,993.0,1992.0,-941.0
64,2741.661801,3.5078309,1,65,1,2,2,2,2,1,-110,1.0,-0.9746197,318135.0,321645.0,319679.0,319679.0,0.0,0.0,318653.0,320644.0,318653.0,321645.0,320651.0,321645.0,3510.0,518.0,2992.0,994.0,1991.0,-972.0
65,2745.178143,3.5076482,1,66,1,1,1,2,1,2,-105,2.0,-0.2659103,321652.0,325161.0,323904.0,0.0,323904.0,0.0,322169.0,324160.0,322169.0,325161.0,324167.0,325161.0,3509.0,517.0,2992.0,994.0,1991.0,-263.0
66,2748.694118,3.5078291,1,67,1,1,2,1,2,2,0,2.0,-0.8664993,325167.0,328676.0,326819.0,0.0,326819.0,0.0,325686.0,327677.0,325686.0,328676.0,327684.0,328677.0,3509.0,519.0,2990.0,993.0,1991.0,-865.0
67,2752.210278,3.5078329,1,68,1,1,2,2,5,2,-110,1.0,-0.9247683,328683.0,332193.0,330277.0,330277.0,0.0,0.0,329202.0,331193.0,329202.0,332193.0,331200.0,332193.0,3510.0,519.0,2991.0,993.0,1991.0,-923.0
68,2755.726443,3.5078447,1,69,1,1,1,2,1,1,-105,2.0,-0.7996406,332200.0,335709.0,333918.0,0.0,333918.0,0.0,332718.0,334709.0,332719.0,335709.0,334716.0,335709.0,3509.0,519.0,2990.0,993.0,1991.0,-798.0
69,2759.242638,3.5078196,1,70,1,1,1,2,1,1,-110,2.0,-0.9747977,335716.0,339225.0,337259.0,0.0,337259.0,0.0,336234.0,338226.0,336234.0,339225.0,338232.0,339225.0,3509.0,518.0,2991.0,993.0,1992.0,-973.0
70,2762.758788,3.5078463,1,71,1,1,1,2,2,2,-115,2.0,-0.9829345,339232.0,342741.0,340766.0,0.0,340766.0,0.0,339750.0,341742.0,339750.0,342742.0,341748.0,342742.0,3509.0,518.0,2992.0,994.0,1992.0,-982.0
71,2766.274967,3.5078306,1,72,1,1,2,1,4,1,-5,1.0,-0.7413164,342748.0,346258.0,344525.0,344525.0,0.0,0.0,343266.0,345257.0,343266.0,346258.0,345264.0,346258.0,3510.0,518.0,2992.0,994.0,1991.0,-739.0
72,2769.791293,3.5076573,1,73,1,2,2,2,5,1,-120,1.0,-0.1499245,346265.0,349774.0,348633.0,348633.0,0.0,0.0,346783.0,348775.0,346783.0,349774.0,348781.0,349774.0,3509.0,518.0,2991.0,993.0,1992.0,-148.0
73,2773.307282,3.5078294,1,74,1,1,2,1,4,1,0,2.0,-0.1914214,349780.0,353289.0,352107.0,0.0,352107.0,0.0,350299.0,352290.0,350299.0,353290.0,352297.0,353290.0,3509.0,519.0,2991.0,993.0,1991.0,-190.0
74,2776.823449,3.5078358,1,75,1,1,2,1,5,1,-5,1.0,-1.2496091,353297.0,356806.0,354565.0,354565.0,0.0,0.0,353815.0,355806.0,353815.0,356806.0,355813.0,356806.0,3509.0,518.0,2991.0,993.0,1991.0,-1248.0
75,2780.347958,3.5078321,1,76,1,1,1,2,1,2,-115,1.0,-0.6080407,356823.0,360330.0,358731.0,358731.0,0.0,0.0,357340.0,359331.0,357340.0,360330.0,359337.0,360330.0,3507.0,517.0,2990.0,993.0,1991.0,-606.0
76,2783.864121,3.5077889,1,77,1,2,2,1,4,1,0,2.0,-1.1078562,360337.0,363847.0,361748.0,0.0,361748.0,0.0,360855.0,362847.0,360855.0,363847.0,362853.0,363847.0,3510.0,518.0,2992.0,994.0,1992.0,-1105.0
77,2787.380396,3.5077065,1,78,1,2,2,1,5,1,-5,1.0,-0.8580919,363854.0,367363.0,365513.0,365513.0,0.0,0.0,364371.0,366363.0,364371.0,367363.0,366370.0,367363.0,3509.0,517.0,2992.0,993.0,1992.0,-857.0
78,2790.896435,3.5078474,1,79,1,2,2,2,5,1,-110,2.0,0.2086273,367369.0,370879.0,370095.0,0.0,370095.0,0.0,367888.0,369880.0,367888.0,370879.0,369886.0,370879.0,3510.0,519.0,2991.0,993.0,1992.0,209.0
79,2794.412601,3.507814,1,80,1,2,2,2,3,2,-115,2.0,-0.1996632,370886.0,374395.0,373204.0,0.0,373204.0,0.0,371404.0,373395.0,371404.0,374396.0,373402.0,374396.0,3509.0,518.0,2992.0,994.0,1991.0,-198.0
80,2797.928732,3.5078801,1,81,1,1,2,2,1,1,-120,1.0,-0.8579455,374402.0,377911.0,376062.0,376062.0,0.0,0.0,374920.0,376911.0,374920.0,377911.0,376918.0,377911.0,3509.0,518.0,2991.0,993.0,1991.0,-856.0
81,2801.444919,3.5078239,1,82,1,1,1,2,2,2,-115,1.0,0.0169475,377918.0,381427.0,380452.0,380452.0,0.0,0.0,378436.0,380428.0,378437.0,381427.0,380434.0,381427.0,3509.0,519.0,2990.0,993.0,1992.0,18.0
82,2804.961074,3.5078503,1,83,1,2,2,2,5,1,-110,2.0,-0.8079627,381434.0,384943.0,383144.0,0.0,383144.0,0.0,381952.0,383944.0,381952.0,384944.0,383950.0,384944.0,3509.0,518.0,2992.0,994.0,1992.0,-806.0
83,2808.477259,3.5078175,1,84,1,1,1,2,3,2,-115,1.0,-0.424744,384950.0,388460.0,387043.0,387043.0,0.0,0.0,385468.0,387460.0,385468.0,388460.0,387466.0,388460.0,3510.0,518.0,2992.0,994.0,1992.0,-423.0
84,2811.993441,3.5078102,1,85,1,2,2,2,2,2,-110,2.0,-0.8746548,388466.0,391976.0,390110.0,0.0,390110.0,0.0,388984.0,390975.0,388984.0,391976.0,390983.0,391976.0,3510.0,518.0,2992.0,993.0,1991.0,-873.0
85,2815.5096,3.5078212,1,86,1,2,2,1,5,2,0,2.0,-0.5244039,391982.0,395492.0,393976.0,0.0,393976.0,0.0,392501.0,394492.0,392501.0,395493.0,394499.0,395493.0,3510.0,519.0,2992.0,994.0,1991.0,-523.0
86,2819.025886,3.5077112,1,87,1,2,1,2,2,1,-115,2.0,-0.5163646,395499.0,399008.0,397500.0,0.0,397500.0,0.0,396017.0,398008.0,396017.0,399008.0,398015.0,399008.0,3509.0,518.0,2991.0,993.0,1991.0,-515.0
87,2822.541928,3.5078036,1,88,1,1,1,2,5,1,-120,1.0,-0.5162845,399015.0,402524.0,401017.0,401017.0,0.0,0.0,399533.0,401524.0,399533.0,402524.0,401531.0,402524.0,3509.0,518.0,2991.0,993.0,1991.0,-514.0
88,2826.05828,3.5076347,1,89,1,2,2,1,4,1,-5,1.0,-0.8329281,402531.0,406040.0,404216.0,404216.0,0.0,0.0,403049.0,405041.0,403049.0,406040.0,405047.0,406040.0,3509.0,518.0,2991.0,993.0,1992.0,-831.0
89,2829.574249,3.5078498,1,90,1,2,2,1,5,2,0,2.0,-0.249739,406047.0,409556.0,408315.0,0.0,408315.0,0.0,406565.0,408557.0,406565.0,409557.0,408563.0,409557.0,3509.0,518.0,2992.0,994.0,1992.0,-248.0
90,2833.09043,3.5078021,1,91,1,2,1,1,4,2,-5,1.0,-0.2997595,409563.0,413073.0,411781.0,411781.0,0.0,0.0,410081.0,412072.0,410081.0,413073.0,412079.0,413073.0,3510.0,518.0,2992.0,994.0,1991.0,-298.0
91,2836.60659,3.5078208,1,92,1,2,1,1,4,2,0,2.0,-0.6907688,413079.0,416589.0,414907.0,0.0,414907.0,0.0,413597.0,415588.0,413598.0,416589.0,415596.0,416589.0,3510.0,519.0,2991.0,993.0,1991.0,-689.0
92,2840.122744,3.5078296,1,93,1,1,1,1,5,2,-5,1.0,-0.8162894,416595.0,420105.0,418297.0,418297.0,0.0,0.0,417114.0,419105.0,417114.0,420106.0,419112.0,420106.0,3510.0,519.0,2992.0,994.0,1991.0,-815.0
93,2843.638904,3.499501,1,94,1,2,2,2,4,2,-115,2.0,0.1169582,420112.0,423613.0,422738.0,0.0,422738.0,0.0,420622.0,422613.0,420622.0,423613.0,422620.0,423613.0,3501.0,510.0,2991.0,993.0,1991.0,118.0
94,2847.146738,3.5078197,1,95,1,1,2,1,2,2,0,1.0,0.2999961,423619.0,427129.0,426437.0,426437.0,0.0,0.0,424137.0,426130.0,424137.0,427129.0,426136.0,427129.0,3510.0,518.0,2992.0,993.0,1993.0,301.0
95,2850.663026,3.5078305,1,96,1,2,1,1,1,1,5,2.0,-0.4664649,427136.0,430645.0,429187.0,0.0,429187.0,0.0,427654.0,429645.0,427654.0,430646.0,429652.0,430646.0,3509.0,518.0,2992.0,994.0,1991.0,-465.0
96,2854.179064,3.5078354,1,97,1,2,1,1,2,2,0,2.0,-0.3746594,430652.0,434161.0,432795.0,0.0,432795.0,0.0,431170.0,433161.0,431170.0,434162.0,433168.0,434162.0,3509.0,518.0,2992.0,994.0,1991.0,-373.0
97,2857.695227,3.5079719,1,98,1,1,1,1,1,2,-5,1.0,-0.7163195,434168.0,437678.0,435970.0,435970.0,0.0,0.0,434686.0,436677.0,434686.0,437678.0,436684.0,437678.0,3510.0,518.0,2992.0,994.0,1991.0,-714.0
98,2861.211476,3.5077564,1,99,1,2,2,1,2,1,0,2.0,-0.4330307,437684.0,441193.0,439769.0,0.0,439769.0,0.0,438203.0,440194.0,438203.0,441194.0,440200.0,441194.0,3509.0,519.0,2991.0,994.0,1991.0,-431.0
99,2864.727695,3.5077077,1,100,1,1,2,2,3,2,-120,1.0,-0.8746617,441201.0,444709.0,442843.0,442843.0,0.0,0.0,441718.0,443710.0,441718.0,444709.0,443716.0,444710.0,3508.0,517.0,2991.0,994.0,1992.0,-873.0
100,3055.200441,3.7327003,2,1,1,2,2,2,2,2,-65,n/a,n/a,631674.0,635406.0,0.0,0.0,0.0,0.0,632415.0,634407.0,632415.0,635407.0,634413.0,635407.0,3732.0,741.0,2992.0,994.0,1992.0,-634413.0
101,3058.941489,3.5078406,2,2,1,1,2,1,3,2,-15,1.0,-0.3829722,635413.0,638922.0,637548.0,637548.0,0.0,0.0,635931.0,637923.0,635931.0,638923.0,637930.0,638923.0,3509.0,518.0,2992.0,993.0,1992.0,-382.0
102,3062.457664,3.5078192,2,3,1,1,2,1,3,2,-10,1.0,-0.7244818,638929.0,642439.0,640723.0,640723.0,0.0,0.0,639447.0,641438.0,639447.0,642439.0,641445.0,642439.0,3510.0,518.0,2992.0,994.0,1991.0,-722.0
