,onset,duration,run_number,trial_number,ext_mot_pos,ext_mot_ori,ext_mot_ver_dir,fix_off_prct,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial
20,2623.994257,3.5244403,1,21,1,3,2,4,2.0,-0.2415291,2561763.0,2565289.0,2564041.0,0.0,2564041.0,2563573.0,2562280.0,2562280.0,2562280.0,2563273.0,2564281.0,2565289.0,3526.0,517.0,993.0,1008.0,0.0,-240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16961507482682103,-10.502288510705661,0.6126911886601539,1.1007672203046808,2563549.0,2563630.0,81.0,597.2502872171377,10.683058754475093,12.291832390204391,-3.09588982674807,276.0,-3.0835479154063665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2627.527169,3.5243451,1,22,1,10,2,3,1.0,-0.4078261,2565296.0,2568822.0,2567409.0,2567409.0,0.0,2566973.0,2565813.0,2565813.0,2565813.0,2566606.0,2567814.0,2568822.0,3526.0,517.0,793.0,1008.0,0.0,-405.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02769225711458158,-10.671903585532482,0.4119223245794236,1.1388440738372314,2566948.0,2567020.0,72.0,559.1815035993408,10.669004172534754,11.622958993141435,-3.073405844416329,342.0,-3.0736377479634847,1.0,-5.766912544111943,-5.472682312269497,1.789612116029936,1.3846128557291577,2567562.0,2567588.0,26.0,55.47158505042185,0.500595475583067,0.4736231150968602,0.9425084287444083,0.9462987780055873
22,2631.060003,3.5244472,1,23,2,5,2,2,1.0,0.0583546,2568829.0,2572355.0,2571407.0,2571407.0,0.0,2570262.0,2569346.0,2569346.0,2569346.0,2569938.0,2571347.0,2572356.0,3526.0,517.0,592.0,1009.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03461532139322895,8.636522687610622,0.33576861751432235,0.5296144173164012,2570244.0,2570310.0,66.0,337.3968040797438,8.604091267012802,9.581893619347335,-0.022531397700922107,306.0,0.03902572890877095,1.0,-33.26532385889301,1.779227519611967,18.726888873736858,1.1042287524440024,2571487.0,2571534.0,47.0,10719.211439842165,39.225995603314914,50.99923618295512,0.46593656668288924,0.5381147131796846
23,2634.592753,3.5244536,1,24,1,2,2,4,2.0,-0.0498581,2572362.0,2575887.0,2574831.0,0.0,2574831.0,2574112.0,2572878.0,2572878.0,2572879.0,2573871.0,2574879.0,2575887.0,3525.0,517.0,992.0,1008.0,0.0,-48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19730733194140657,-10.606134474885348,0.46384530666926704,0.8099985206015565,2574091.0,2574165.0,74.0,542.6248362463733,10.808985933981402,11.95661755591145,-3.109562599062056,220.0,-3.072925392236454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2638.125588,3.5327445,1,25,2,2,2,2,2.0,0.3588336,2575895.0,2579429.0,2578774.0,0.0,2578774.0,2577404.0,2576411.0,2576411.0,2576411.0,2577004.0,2578412.0,2579429.0,3534.0,516.0,593.0,1017.0,0.0,362.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.27346103900650787,9.23536774771348,0.3115378925390605,0.6299988493567683,2577380.0,2577451.0,71.0,354.97632816523105,9.514160093049306,10.426946140495508,-0.033478567814593255,376.0,-0.0385191440681958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2641.666899,3.52428081,1,26,1,5,1,1,2.0,-0.4664662,2579436.0,2582961.0,2581489.0,0.0,2581489.0,2580736.0,2579952.0,2579952.0,2579953.0,2580345.0,2581954.0,2582962.0,3525.0,517.0,392.0,1008.0,0.0,-465.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.10038443204036315,-9.488059593884055,0.3703839389075513,0.7892293277656184,2580720.0,2580789.0,69.0,523.8976130377256,9.397014228150592,10.788085802671924,-3.097005704156383,375.0,-3.071908304220685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2645.199706,3.524303,1,27,1,4,2,2,1.0,0.2667073,2582969.0,2586495.0,2585754.0,2585754.0,0.0,2584618.0,2583485.0,2583485.0,2583485.0,2584078.0,2585486.0,2586495.0,3526.0,516.0,593.0,1009.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.10038443204036315,-10.910749303145765,0.38769159960416577,1.2080747166236894,2584597.0,2584664.0,67.0,528.9748920893403,10.84144903161567,12.146281494150674,-3.065849266218304,519.0,-3.046262676233885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2648.73239,3.5244516,1,28,2,10,1,1,1.0,-0.4331778,2586501.0,2590027.0,2588587.0,2588587.0,0.0,2587868.0,2587018.0,2587018.0,2587018.0,2587411.0,2589019.0,2590028.0,3526.0,517.0,393.0,1009.0,0.0,-432.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.10730749631901051,8.390753905718698,0.27346103900650787,0.4430761138333289,2587842.0,2587903.0,61.0,472.9866980436819,8.499753929756533,10.21789525372749,-0.019956617029223876,431.0,-0.0572837142860103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2652.265383,3.52425191,1,29,2,8,2,4,1.0,-0.0915373,2590034.0,2593560.0,2592462.0,2592462.0,0.0,2591877.0,2590551.0,2590551.0,2590551.0,2591544.0,2592552.0,2593560.0,3526.0,517.0,993.0,1008.0,0.0,-90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11769209273697762,8.373446245022084,0.294230231842446,1.156151734533846,2591861.0,2591925.0,64.0,378.6547172507577,8.300625596891754,9.372516166789115,-0.10402565218320463,317.0,-0.1039683577202229,1.0,-33.26532385889301,0.5849989315455684,18.726888873736858,1.5196126091627498,2592507.0,2592565.0,58.0,10740.705603082657,37.97281540078719,50.73759564077738,0.4702927066720681,0.5327790943326667
29,2655.798059,3.5244156,1,30,1,10,2,5,1.0,0.0334994,2593567.0,2597093.0,2596119.0,2596119.0,0.0,2595567.0,2594084.0,2594084.0,2594084.0,2595277.0,2596085.0,2597094.0,3526.0,517.0,1193.0,1009.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.823828211398373,0.498460628062496,1.2357669737382728,2595546.0,2595612.0,66.0,486.19057385931643,9.851457829907224,10.845764616034907,-3.0666802476050883,269.0,-3.0569141438961887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
