,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,exp_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
57,1614.124623,3.5077292,1,58,1,2,2,2,1,1,45,2.0,-0.0997578,1525041.0,1528550.0,1527459.0,0.0,1527459.0,0.0,1525559.0,1527551.0,1525559.0,1528551.0,1527557.0,1528551.0,3509.0,518.0,2992.0,994.0,1992.0,-98.0
58,1617.640664,3.5078675,1,59,1,1,2,2,4,2,50,2.0,0.1168152,1528557.0,1532067.0,1531192.0,0.0,1531192.0,0.0,1529075.0,1531067.0,1529075.0,1532067.0,1531074.0,1532067.0,3510.0,518.0,2992.0,993.0,1992.0,118.0
59,1621.156828,3.5078784,1,60,1,1,2,2,2,1,55,1.0,0.3417647,1532073.0,1535583.0,1534933.0,1534933.0,0.0,0.0,1532591.0,1534583.0,1532592.0,1535583.0,1534590.0,1535583.0,3510.0,519.0,2991.0,993.0,1992.0,343.0
60,1624.672975,3.5078377,1,61,1,2,1,2,5,1,50,2.0,0.3251231,1535590.0,1539099.0,1538433.0,0.0,1538433.0,0.0,1536108.0,1538099.0,1536108.0,1539100.0,1538106.0,1539100.0,3509.0,518.0,2992.0,994.0,1991.0,327.0
61,1628.189279,3.5076961,1,62,1,1,2,2,5,1,55,1.0,-0.0065914,1539106.0,1542615.0,1541615.0,1541615.0,0.0,0.0,1539624.0,1541615.0,1539624.0,1542615.0,1541622.0,1542615.0,3509.0,518.0,2991.0,993.0,1991.0,-7.0
62,1631.705327,3.507815,1,63,1,1,1,1,5,1,35,1.0,0.0834928,1542622.0,1546131.0,1545223.0,1545223.0,0.0,0.0,1543140.0,1545131.0,1543141.0,1546131.0,1545138.0,1546131.0,3509.0,519.0,2990.0,993.0,1991.0,85.0
63,1635.22146,3.5078384,1,64,1,2,2,1,3,1,30,2.0,0.0256087,1546138.0,1549647.0,1548682.0,0.0,1548682.0,0.0,1546657.0,1548648.0,1546657.0,1549647.0,1548655.0,1549648.0,3509.0,519.0,2990.0,993.0,1991.0,27.0
64,1638.737764,3.5076625,1,65,1,1,1,2,2,2,50,1.0,0.2251191,1549654.0,1553163.0,1552397.0,1552397.0,0.0,0.0,1550172.0,1552164.0,1550172.0,1553163.0,1552170.0,1553164.0,3509.0,518.0,2991.0,994.0,1992.0,227.0
65,1642.253765,3.5078266,1,66,1,1,2,1,1,2,35,2.0,-0.0997637,1553170.0,1556680.0,1555588.0,0.0,1555588.0,0.0,1553688.0,1555680.0,1553688.0,1556680.0,1555687.0,1556680.0,3510.0,518.0,2992.0,993.0,1992.0,-99.0
66,1645.769926,3.5078426,1,67,1,2,2,2,4,1,45,1.0,0.0501416,1556686.0,1560196.0,1559255.0,1559255.0,0.0,0.0,1557205.0,1559195.0,1557205.0,1560196.0,1559203.0,1560196.0,3510.0,519.0,2991.0,993.0,1990.0,52.0
