,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
29,543.3934497,3.507913,1,30,1,1,2,2,3,2,-40,2.0,-0.9579869,524139.0,527649.0,525700.0,0.0,525700.0,0.0,524658.0,526649.0,524658.0,527649.0,526656.0,527649.0,3510.0,519.0,2991.0,993.0,1991.0,-956.0
30,546.9096934,3.5079204,1,31,1,1,1,2,3,2,-45,2.0,-0.9913243,527655.0,531165.0,529182.0,0.0,529182.0,0.0,528173.0,530165.0,528173.0,531165.0,530172.0,531165.0,3510.0,518.0,2992.0,993.0,1992.0,-990.0
31,550.4259466,3.4996188,1,32,1,2,1,2,4,2,-50,1.0,-1.2157945,531172.0,534673.0,532465.0,532465.0,0.0,0.0,531682.0,533674.0,531682.0,534673.0,533680.0,534673.0,3501.0,510.0,2991.0,993.0,1992.0,-1215.0
32,553.9338838,3.5079025,1,33,1,1,2,2,2,2,-45,1.0,-0.9573745,534680.0,538189.0,536240.0,536240.0,0.0,0.0,535198.0,537189.0,535198.0,538190.0,537196.0,538190.0,3509.0,518.0,2992.0,994.0,1991.0,-956.0
33,557.4501103,3.5162308,1,34,1,2,2,1,2,2,-40,1.0,-0.5413855,538196.0,541714.0,540180.0,540180.0,0.0,0.0,538714.0,540714.0,538714.0,541714.0,540721.0,541714.0,3518.0,518.0,3000.0,993.0,2000.0,-541.0
34,560.9746611,3.5079405,1,35,1,1,2,1,5,1,-35,2.0,-0.7495588,541720.0,545230.0,543489.0,0.0,543489.0,0.0,542239.0,544230.0,542239.0,545230.0,544237.0,545230.0,3510.0,519.0,2991.0,993.0,1991.0,-748.0
35,564.4909295,3.5079196,1,36,1,1,1,2,3,1,-40,2.0,-1.0996388,545237.0,548746.0,546655.0,0.0,546655.0,0.0,545755.0,547746.0,545755.0,548747.0,547753.0,548747.0,3509.0,518.0,2992.0,994.0,1991.0,-1098.0
36,568.007173,3.5079935,1,37,1,2,1,2,2,1,-45,1.0,-1.2413539,548753.0,552263.0,550030.0,550030.0,0.0,0.0,549271.0,551263.0,549271.0,552263.0,551270.0,552263.0,3510.0,518.0,2992.0,993.0,1992.0,-1240.0
37,571.523427,3.5079352,1,38,1,1,1,1,4,2,-40,2.0,-0.9996602,552269.0,555779.0,553787.0,0.0,553787.0,0.0,552787.0,554778.0,552788.0,555779.0,554785.0,555779.0,3510.0,519.0,2991.0,994.0,1991.0,-998.0
38,575.0396798,3.5079258,1,39,1,2,1,1,1,2,-45,1.0,-1.2740664,555785.0,559294.0,557029.0,557029.0,0.0,0.0,556304.0,558295.0,556304.0,559295.0,558302.0,559295.0,3509.0,519.0,2991.0,993.0,1991.0,-1273.0
39,578.5559987,3.5078561,1,40,1,1,2,1,2,1,-40,1.0,-0.8496466,559302.0,562811.0,560970.0,560970.0,0.0,0.0,559820.0,561811.0,559820.0,562811.0,561818.0,562811.0,3509.0,518.0,2991.0,993.0,1991.0,-848.0
