,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
38,5677.048673,3.5078338,1,39,1,1,1,2,5,1,-30,2.0,-0.7077956,3253506.0,3257015.0,3255316.0,0.0,3255316.0,0.0,3254024.0,3256016.0,3254024.0,3257015.0,3256022.0,3257015.0,3509.0,518.0,2991.0,993.0,1992.0,-706.0
39,5680.564837,3.5079325,1,40,1,2,1,1,4,2,-35,1.0,-0.0831475,3257022.0,3260532.0,3259457.0,3259457.0,0.0,0.0,3257540.0,3259531.0,3257540.0,3260532.0,3259538.0,3260532.0,3510.0,518.0,2992.0,994.0,1991.0,-81.0
40,5684.081016,3.5078155,1,41,1,1,2,2,2,1,-35,2.0,-0.2825668,3260538.0,3264048.0,3262773.0,0.0,3262773.0,0.0,3261056.0,3263047.0,3261056.0,3264048.0,3263054.0,3264048.0,3510.0,518.0,2992.0,994.0,1991.0,-281.0
41,5687.597179,3.507832,1,42,1,1,1,2,4,1,-40,1.0,-0.2409047,3264054.0,3267563.0,3266332.0,3266332.0,0.0,0.0,3264573.0,3266564.0,3264573.0,3267563.0,3266571.0,3267563.0,3509.0,519.0,2990.0,992.0,1991.0,-239.0
42,5691.113345,3.5078265,1,43,1,2,1,1,3,1,-30,2.0,-1.007663,3267570.0,3271079.0,3269080.0,0.0,3269080.0,0.0,3268089.0,3270080.0,3268089.0,3271080.0,3270087.0,3271080.0,3509.0,519.0,2991.0,993.0,1991.0,-1007.0
43,5694.629505,3.5078191,1,44,1,1,2,1,5,2,-35,1.0,-0.4330458,3271087.0,3274596.0,3273171.0,3273171.0,0.0,0.0,3271605.0,3273596.0,3271605.0,3274596.0,3273603.0,3274596.0,3509.0,518.0,2991.0,993.0,1991.0,-432.0
44,5698.145656,3.5078441,1,45,1,2,2,2,2,2,-35,2.0,-0.8746526,3274603.0,3278112.0,3276246.0,0.0,3276246.0,0.0,3275121.0,3277113.0,3275121.0,3278112.0,3277119.0,3278112.0,3509.0,518.0,2991.0,993.0,1992.0,-873.0
45,5701.661962,3.5076874,1,46,1,2,2,1,1,1,-30,2.0,-0.508162,3278119.0,3281628.0,3280129.0,0.0,3280129.0,0.0,3278637.0,3280628.0,3278637.0,3281629.0,3280635.0,3281629.0,3509.0,518.0,2992.0,994.0,1991.0,-506.0
46,5705.177962,3.5078796,1,47,1,1,2,1,2,1,-35,1.0,-0.3830824,3281635.0,3285145.0,3283769.0,3283769.0,0.0,0.0,3282153.0,3284144.0,3282153.0,3285145.0,3284151.0,3285145.0,3510.0,518.0,2992.0,994.0,1991.0,-382.0
47,5708.694174,3.5078073,1,48,1,2,2,1,4,2,-30,2.0,-0.8661417,3285151.0,3288661.0,3286803.0,0.0,3286803.0,0.0,3285669.0,3287660.0,3285669.0,3288661.0,3287667.0,3288662.0,3510.0,518.0,2992.0,995.0,1991.0,-864.0
48,5712.210456,3.5077002,1,49,1,1,1,1,5,2,-35,1.0,0.2752539,3288667.0,3292176.0,3291461.0,3291461.0,0.0,0.0,3289186.0,3291177.0,3289186.0,3292177.0,3291184.0,3292177.0,3509.0,519.0,2991.0,993.0,1991.0,277.0
49,5715.726587,3.5077333,1,50,1,2,1,1,3,1,-30,2.0,-0.8079014,3292184.0,3295693.0,3293893.0,0.0,3293893.0,0.0,3292702.0,3294693.0,3292702.0,3295693.0,3294700.0,3295693.0,3509.0,518.0,2991.0,993.0,1991.0,-807.0
50,5719.242651,3.524487,1,51,1,2,1,1,3,2,-35,2.0,-0.8246748,3295700.0,3299226.0,3297410.0,0.0,3297410.0,0.0,3296234.0,3298226.0,3296234.0,3299226.0,3298233.0,3299226.0,3526.0,534.0,2992.0,993.0,1992.0,-823.0
51,5795.348437,3.5078177,1,52,1,2,1,2,4,1,-40,2.0,-0.9912956,3371805.0,3375314.0,3373331.0,0.0,3373331.0,0.0,3372324.0,3374314.0,3372324.0,3375314.0,3374321.0,3375314.0,3509.0,519.0,2990.0,993.0,1990.0,-990.0
52,5798.864585,3.7827981,1,53,1,2,1,1,1,1,-40,1.0,-0.1497502,3375321.0,3379105.0,3377964.0,3377964.0,0.0,0.0,3376115.0,3378106.0,3376115.0,3379105.0,3378112.0,3379105.0,3784.0,794.0,2990.0,993.0,1991.0,-148.0
